,country,num,all_budget,avg_budget,all_usa_income,avg_usa_income,all_global_income,avg_global_income,all_usa_profit,avg_usa_profit,all_global_profit,avg_global_profit
0,Afghanistan,1,20000000.0,20000000.0,75011029,75011029.0,75011029,75011029.0,-4199922.0,-4199922.0,55011029.0,55011029.0
1,Algeria,1,16096450.0,16096450.0,22963701,22963701.0,22963701,22963701.0,-15775750.0,-15775750.0,6867251.0,6867251.0
2,Angola,1,500000.0,500000.0,101729,101729.0,101729,101729.0,-399630.0,-399630.0,-398271.0,-398271.0
3,Argentina,17,162232387.22518817,9543081.601481657,391307270,23018074.70588235,391307270,23018074.70588235,-81594531.22518817,-4799678.307364009,229074882.77481183,13474993.104400696
4,Australia,125,7064687229.973026,56517497.83978421,19705530424,157644243.392,19705530424,157644243.392,638510165.0269737,5108081.32021579,12640843194.026974,101126745.55221578
5,Austria,13,596860938.2316034,45912379.86396949,1897507730,145962133.07692307,1897507730,145962133.07692307,-145589919.23160338,-11199224.556277184,1300646791.7683966,100049753.21295358
6,Bahamas,1,150000000.0,150000000.0,616501619,616501619.0,616501619,616501619.0,17445960.0,17445960.0,466501619.0,466501619.0
7,Bahrain,1,14700000.0,14700000.0,14603177,14603177.0,14603177,14603177.0,-13111985.0,-13111985.0,-96823.0,-96823.0
8,Belgium,66,1333042784.3631997,20197617.944896966,2560758558,38799372.09090909,2560758558,38799372.09090909,-738818766.3631997,-11194223.732775753,1227715773.6368003,18601754.146012127
9,Bosnia and Herzegovina,2,27220200.0,13610100.0,12532902,6266451.0,12532902,6266451.0,-25238178.0,-12619089.0,-14687298.0,-7343649.0
10,Brazil,13,351356372.7593428,27027413.289180215,1334865659,102681973.76923077,1334865659,102681973.76923077,60312613.24065721,4639431.7877428625,983509286.2406572,75654560.48005055
11,British Virgin Islands,1,40000000.0,40000000.0,42883181,42883181.0,42883181,42883181.0,-39870922.0,-39870922.0,2883181.0,2883181.0
12,Bulgaria,18,934017778.2,51889876.56666667,2176769398,120931633.22222222,2176769398,120931633.22222222,-196443000.20000005,-10913500.011111114,1242751619.8,69041756.65555555
13,Cambodia,2,78000000.0,39000000.0,204337248,102168624.0,204337248,102168624.0,25358309.0,12679154.5,126337248.0,63168624.0
14,Canada,399,17900515485.12191,44863447.331132606,49667120244,124478998.10526316,49667120244,124478998.10526316,2176382428.87809,5454592.553579173,31766604758.87809,79615550.77413055
15,Cayman Islands,1,230000.0,230000.0,2260712,2260712.0,2260712,2260712.0,-125021.0,-125021.0,2030712.0,2030712.0
16,Chile,5,41000000.0,8200000.0,61291921,12258384.2,61291921,12258384.2,-14690362.0,-2938072.4,20291921.0,4058384.2
17,China,136,9013305309.145065,66274303.743713714,28034528247,206136237.1102941,28034528247,206136237.1102941,-974328561.1450653,-7164180.596654892,19021222937.854935,139861933.3665804
